组别名称,笼号,动物编号,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24
Control,1,Control-1-0,20.85,21.98,21.34,21.68,21.72,22.18,22.31,22.85,23.42
Control,1,Control-1-1,19.75,21.16,21.13,20.96,21.11,21.43,21.39,21.73,21.82
Control,1,Control-1-2,20.08,21.32,21.37,21.59,21.83,21.96,22.02,22.58,22.53
Control,1,Control-1-3,19.5,21.01,20.94,21.13,21.52,21.42,21.62,22.09,22.32
Control,1,Control-1-4,19.86,19.96,19.99,20.38,20.57,20.68,21.0,21.12,21.52
Control,2,Control-2-0,20.15,20.37,20.54,21.54,21.36,22.05,21.80,21.85,22.12
Control,2,Control-2-1,21.53,21.9,22.92,22.84,22.44,22.98,23.54,22.93,24.00
Control,2,Control-2-2,20.56,21.13,21.08,21.08,21.18,21.49,21.71,22.12,23.46
Control,2,Control-2-3,21.75,21.93,22.27,22.63,22.57,22.68,22.82,23.07,23.66
Control,2,Control-2-4,21.02,21.37,21.54,21.23,21.46,22.26,22.97,22.93,23.06
Control,3,Control-3-0,20.95,18.14,19.08,20.27,21.05,21.91,21.73,22.31,23.08
Control,3,Control-3-1,20.51,21.05,21.07,21.24,21.73,22.03,22.26,22.62,23.07
Control,3,Control-3-2,21.95,22.62,22.26,22.5,22.62,22.96,22.49,22.76,22.65
Control,3,Control-3-3,20.34,20.62,20.81,21.5,21.61,22.02,21.96,22.14,22.45
Control,3,Control-3-4,20.32,20.86,20.65,21.2,21.41,21.88,21.94,22.34,23.28
3% DSS,1,3% DSS-1-0,20.36,20.89,20.86,21.38,20.91,20.52,18.54,18.30,18.61
3% DSS,1,3% DSS-1-1,20.95,21.52,21.6,21.92,22.27,21.81,19.82,18.10,18.22
3% DSS,1,3% DSS-1-2,18.74,19.11,18.93,19.51,19.18,18.32,17.15,16.57,16.47
3% DSS,1,3% DSS-1-3,20.62,21.04,20.84,21.52,21.42,20.63,19.65,18.56,19.09
3% DSS,1,3% DSS-1-4,20.17,20.6,21.18,21.82,21.23,21.97,19.85,18.89,18.41
3% DSS,2,3% DSS-2-0,20.86,21.36,21.71,21.62,21.53,21.27,19.35,18.44,18.91
3% DSS,2,3% DSS-2-1,20.94,21.09,21.31,21.52,21.43,21.72,20.85,19.56,19.40
3% DSS,2,3% DSS-2-2,21.09,20.76,21.6,21.46,21.54,21.12,19.52,19.60,19.72
3% DSS,2,3% DSS-2-3,20.42,21.13,20.96,21.22,21.47,21.75,20.53,19.71,19.71
3% DSS,2,3% DSS-2-4,21.3,21.84,22.31,22.65,22.25,21.58,20.40,19.08,18.19
3% DSS,3,3% DSS-3-0,22.19,22.23,23.06,23.22,23.54,23.14,20.8,19.82,19.11
