组别名称,笼号,动物编号,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24
100 mpk SH,1,100 mpk SH-1-0,0,0,0,0,0,2,1,4,2
100 mpk SH,1,100 mpk SH-1-1,0,0,0,0,0,4,1,1,1
100 mpk SH,1,100 mpk SH-1-2,0,0,0,0,0,1,1,2,3
100 mpk SH,1,100 mpk SH-1-3,0,0,0,0,0,1,2,4,2
3% DSS,1,3% DSS-1-0,0,0,0,0,0,0,2,3,2
3% DSS,1,3% DSS-1-1,0,0,0,0,0,1,2,3,3
3% DSS,1,3% DSS-1-2,0,0,0,0,0,4,2,4,4
3% DSS,1,3% DSS-1-3,0,0,0,0,1,2,1,4,2
3% DSS,1,3% DSS-1-4,0,0,0,0,0,2,1,4,3
3% DSS,2,3% DSS-2-0,0,0,0,0,1,0,1,3,3
3% DSS,2,3% DSS-2-1,0,0,0,0,0,0,1,3,3
3% DSS,2,3% DSS-2-2,0,0,0,0,0,0,1,3,2
3% DSS,2,3% DSS-2-3,0,0,0,0,0,0,1,3,3
3% DSS,2,3% DSS-2-4,0,0,0,0,1,4,3,3,4
3% DSS,3,3% DSS-3-0,0,0,0,0,0,4,1,4,4
3% DSS,3,3% DSS-3-1,0,0,0,0,0,0,1,3,3
3% DSS,3,3% DSS-3-2,0,0,0,0,0,0,1,3,3
3% DSS,3,3% DSS-3-3,0,0,0,0,0,0,2,3,4
3% DSS,3,3% DSS-3-4,0,0,0,0,0,1,1,3,3
50 mpk CsA,1,50 mpk CsA-1-0,0,0,0,0,1,0,0,2,2
50 mpk CsA,1,50 mpk CsA-1-1,0,0,0,0,0,0,0,0,2
50 mpk CsA,1,50 mpk CsA-1-2,0,0,0,0,0,0,0,1,2
50 mpk CsA,1,50 mpk CsA-1-3,0,0,0,0,0,0,0,3,2
50 mpk CsA,2,50 mpk CsA-2-0,0,0,0,0,0,0,0,4,2
50 mpk CsA,2,50 mpk CsA-2-1,0,0,0,0,0,2,2,4,2
50 mpk CsA,2,50 mpk CsA-2-2,0,0,0,0,0,0,4,1,2
50 mpk CsA,2,50 mpk CsA-2-3,0,0,0,0,0,0,0,1,3
80 mpk BP-01514,01514,80 mpk BP-01514-1-0,0,0,0,0,0,3,1,3,3
80 mpk BP-01514,01514,80 mpk BP-01514-1-1,0,0,0,0,0,4,1,3,2
80 mpk BP-01514,01514,80 mpk BP-01514-1-2,0,0,0,0,0,3,1,3,4
80 mpk BP-01514,01514,80 mpk BP-01514-1-3,0,0,0,0,0,0,1,2,3
80 mpk BP-01514,01514,80 mpk BP-01514-1-4,0,0,0,0,0,0,1,2,3
80 mpk BP-01514,01514,80 mpk BP-01514-2-0,0,0,0,0,0,0,1,3,3
80 mpk BP-01514,01514,80 mpk BP-01514-2-1,0,0,0,0,0,0,1,3,3
80 mpk BP-01514,01514,80 mpk BP-01514-2-2,0,0,0,0,0,0,1,3,3
80 mpk BP-01514,01514,80 mpk BP-01514-2-3,0,0,0,0,0,2,2,3,2
80 mpk BP-01514,01514,80 mpk BP-01514-2-4,0,0,0,0,0,0,1,3,3
80 mpk BP-01514,01514,80 mpk BP-01514-3-0,0,0,0,0,0,0,0,3,3
80 mpk BP-01514,01514,80 mpk BP-01514-3-1,0,0,0,0,0,0,0,3,2
80 mpk BP-01514,01514,80 mpk BP-01514-3-2,0,0,0,0,0,0,0,4,3
80 mpk BP-01514,01514,80 mpk BP-01514-3-3,0,0,0,0,0,0,0,3,4
80 mpk BP-01514,01514,80 mpk BP-01514-3-4,0,0,0,0,0,0,0,3,3
80 mpk CsA,1,80 mpk CsA-1-0,0,0,0,0,0,0,0,1,2
80 mpk CsA,1,80 mpk CsA-1-1,0,0,0,0,0,0,0,0,2
80 mpk CsA,1,80 mpk CsA-1-2,0,0,0,0,0,0,0,0,2
80 mpk CsA,1,80 mpk CsA-1-3,0,0,0,0,0,0,0,0,2
80 mpk CsA,2,80 mpk CsA-2-0,0,0,0,0,0,2,3,0,0
80 mpk CsA,2,80 mpk CsA-2-1,0,0,0,0,0,0,0,0,0
80 mpk CsA,2,80 mpk CsA-2-2,0,0,0,0,0,0,1,2,2
80 mpk CsA,2,80 mpk CsA-2-3,0,0,0,0,0,0,1,1,2
Control,1,Control-1-0,0,0,0,0,0,0,0,0,0
Control,1,Control-1-1,0,0,0,0,0,0,0,0,0
Control,1,Control-1-2,0,0,0,0,0,0,0,0,0
Control,1,Control-1-3,0,0,0,0,0,0,0,0,0
Control,1,Control-1-4,0,0,0,0,0,0,0,0,0
Control,2,Control-2-0,0,0,0,0,0,0,0,0,0
Control,2,Control-2-1,0,0,0,0,0,0,0,0,0
Control,2,Control-2-2,0,0,0,0,0,0,0,0,0
Control,2,Control-2-3,0,0,0,0,0,0,0,0,0
Control,2,Control-2-4,0,0,0,0,0,0,0,0,0
Control,3,Control-3-0,0,0,0,0,0,0,0,0,0
Control,3,Control-3-1,0,0,0,0,0,0,0,0,0
Control,3,Control-3-2,0,0,0,0,0,0,0,0,0
Control,3,Control-3-3,0,0,0,0,0,0,0,0,0
Control,3,Control-3-4,0,0,0,0,0,0,0,0,0

实验名称：20251217-DSS-single_cell-1514+CsA
参数名称：腹泻评分
数据导出时间：2025-12-25 07:46:10
